trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,7,-62.2388198109913,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-130.01815264318802,"{0: 17, 1: 1, 2: 2, 3: 4, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-213.75590948922908,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-93.53600241988575,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-52.324176873229355,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,4,-67.80819592561679,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-242.85633210671173,"{0: 14, 1: 3, 2: 8, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,5,-33.87824415543085,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-65.05264613196303,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-62.63740479566795,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-160.4036415136308,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-115.01504120474996,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,3,-79.49108376979663,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,19,11.312736220224624,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,9,-72.4779807557773,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,4,-96.8507634628119,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,14,12.229962173579764,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-65.7320058607449,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,15,7.913090815280166,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,4,-150.7492139739525,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 4}",1
1,True,"{'a': 0, 'e': 0}",25,11,-60.57177013040022,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,8,-182.6794793922207,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 4}",1
3,True,"{'a': 0, 'e': 0}",20,0,-24.691979581087683,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,16,3.9357110216788707,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,18,15.05959067485858,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,-18.103812873642838,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,12,0.7758932071728744,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,10,-64.48878249036989,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",30,0,-16.685512146370066,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,2,-128.14024894365218,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
