trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999988750002109}",30,0,-148.9281778820923,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-106.59495652142158,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999898750170859}",20,0,-58.15911350686753,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.999982000054}",25,0,-204.331919555303,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9999718751318357}",25,0,-118.83762997536601,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999595002733742}",30,0,-66.25616209310783,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.999944875506459}",30,14,-151.71614092913896,"{0: 6, 1: 0, 2: 8, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.9999280008639958}",25,15,-105.77283554940766,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.9999088763839525}",30,0,-271.9055345779793,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.9998875021093592}",35,0,-162.4206999847579,"{0: 22, 1: 4, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9998638780883079}",35,0,-94.41142267311197,"{0: 23, 1: 2, 2: 9, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-104.4221185108116,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9998098810245096}",35,0,-299.1390996595377,"{0: 16, 1: 5, 2: 7, 3: 3, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,0,-154.88119287716287,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9997468856785308}",20,13,-12.274781308129246,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
