trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999988750002109}",30,0,-92.13658836142649,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-164.19160697883407,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9999898750170859}",20,0,-121.22446096538923,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.999982000054}",20,0,-40.97619204826528,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9999718751318357}",25,0,-139.48306650719115,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9999595002733742}",25,0,-76.83979347343401,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.999944875506459}",20,0,-174.78232315050514,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-167.09782778641167,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999088763839525}",30,0,-108.5159217161134,"{0: 22, 1: 2, 2: 2, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-38.783585770784576,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9998638780883079}",20,0,-59.07277872097448,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-82.97326421871799,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9998098810245096}",30,0,-220.24061682088404,"{0: 17, 1: 2, 2: 5, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,0,-70.03136074400709,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9997468856785308}",25,0,-237.1660100077163,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.9997120138237345}",30,0,-178.57304035212258,"{0: 16, 1: 1, 2: 11, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9996748926173291}",20,0,-93.96538630784507,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9996355221428369}",20,0,-114.39797529644613,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9995939024888416}",30,0,-226.30073890556577,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-96.37147367719994,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-64.73647127144498,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-176.25826131323473,"{0: 13, 1: 7, 2: 8, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",35,0,-130.98236965450994,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-79.70161091169592,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-112.66196039708177,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-143.59908939419978,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-218.90585089999996,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
8,True,"{'a': 0, 'e': 0}",20,4,-99.68561730141553,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",30,7,-41.41530713069016,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,6,-144.8950500951366,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 3}",1
